,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
0,1,Walmart,General merchandisers,"572,754",2.4%,"2,300,000","Bentonville, Arkansas"
1,2,Amazon,Retail and Cloud Computing,"469,822",21.7%,"1,608,000","Seattle, Washington"
2,3,Apple,Electronics industry,"365,817",33.2%,"154,000","Cupertino, California"
3,4,CVS Health,Healthcare,"292,111",32.0%,"258,000","Woonsocket, Rhode Island"
4,5,UnitedHealth Group,Healthcare,"287,597",11.8%,"350,000","Minnetonka, Minnesota"
5,6,Exxon Mobil,Petroleum industry,"285,640",57.4%,"63,000","Spring, Texas"
6,7,Berkshire Hathaway,Conglomerate,"276,094",12.5%,"372,000","Omaha, Nebraska"
7,8,Alphabet,Technology,"257,637",41.2%,"156,000","Mountain View, California"
8,9,McKesson Corporation,Health,"238,228",3.1%,"67,500","Irving, Texas"
9,10,AmerisourceBergen,Pharmaceutical industry,"213,989",12.7%,"40,000","Chesterbrook, Pennsylvania"
10,11,Microsoft,Technology,"198,087",17.5%,"181,000","Redmond, Washington"
11,12,Costco,Retail,"195,929",17.5%,"288,000","Issaquah, Washington"
12,13,Cigna,Health Insurance,"174,078",8.5%,"72,963","Bloomfield, Connecticut"
13,14,AT&T,Conglomerate,"168,864",1.7%,"202,600","Dallas, Texas"
14,15,Cardinal Health,Healthcare,"162,467",6.2%,"46,827","Dublin, Ohio"
15,16,Chevron Corporation,Petroleum industry,"162,465",71.6%,"42,595","San Ramon, California"
16,17,The Home Depot,Retail,"151,157",14.4%,"490,600","Atlanta, Georgia"
17,18,Walgreens Boots Alliance,Pharmaceutical industry,"148,579",6.5%,"258,500","Deerfield, Illinois"
18,19,Marathon Petroleum,Petroleum industry,"141,032",58.5%,"17,700","Findlay, Ohio"
19,20,Elevance Health,Healthcare,"138,639",13.8%,"98,200","Indianapolis, Indiana"
20,21,Kroger,Retail,"137,888",4.1%,"420,000","Cincinnati, Ohio"
21,22,Ford Motor Company,Automotive industry,"136,341",7.2%,"183,000","Dearborn, Michigan"
22,23,Verizon Communications,Telecommunications,"133,613",4.1%,"118,400","New York City, New York"
23,24,JPMorgan Chase,Financial services,"127,202",1.8%,"271,025","New York City, New York"
24,25,General Motors,Automotive,"127,004",3.7%,"157,000","Detroit, Michigan"
25,26,Centene,Healthcare,"125,982",13.4%,"72,500","St. Louis, Missouri"
26,27,Meta Platforms,Technology,"117,385",37.2%,"71,970","Menlo Park, California"
27,28,Comcast,Telecommunications,"116,385",12.4%,"189,000","Philadelphia, Pennsylvania"
28,29,Phillips 66,Petroleum industry,"114,852",75.4%,"14,000","Houston, Texas"
29,30,Valero Energy,Petroleum industry,"108,332",80.2%,"9,804","San Antonio, Texas"
30,31,Dell Technologies,Technology,"106,995",13.6%,"133,000","Round Rock, Texas"
31,32,Target Corporation,Retail,"106,005",13.3%,"450,000","Minneapolis, Minnesota"
32,33,Fannie Mae,Financials,"101,543",4.6%,"7,400","Washington, D.C."
33,34,United Parcel Service,Transportation,"97,287",15.0%,"400,945","Atlanta, Georgia"
34,35,Lowe's,Retail,"96,250",7.4%,"270,000","Mooresville, North Carolina"
35,36,Bank of America,Financials,"93,851",0.1%,"208,248","Charlotte, North Carolina"
36,37,Johnson & Johnson,Pharmaceutical industry,"93,775",13.6%,"141,700","New Brunswick, New Jersey"
37,38,Archer Daniels Midland,Food industry,"85,959",32.5%,"39,979","Chicago, Illinois"
38,39,FedEx,Transportation,"83,959",21.3%,"484,000","Memphis, Tennessee"
39,40,Humana,Health Insurance,"83,064",7.7%,"95,500","Louisville, Kentucky"
40,41,Wells Fargo,Financials,"82,407",2.6%,"247,848","San Francisco, California"
41,42,State Farm,Financials,"82,407",4.2%,"53,586","Bloomington, Illinois"
42,43,Pfizer,Pharmaceutical industry,"81,288",94.0%,"79,000","New York City, New York"
43,44,Citigroup,Financials,"79,865",10.1%,"221,768","New York City, New York"
44,45,PepsiCo,Beverage,"79,474",12.9%,"309,000","Purchase, New York"
45,46,Intel,Technology,"79,024",1.5%,"121,100","Santa Clara, California"
46,47,Procter & Gamble,Consumer products Manufacturing,"76,118",7.3%,"101,000","Cincinnati, Ohio"
47,48,General Electric,Conglomerate,"74,196",6.8%,"168,000","Boston, Massachusetts"
48,49,IBM,Technology,"72,344",1.7%,"297,800","Armonk, New York"
49,50,MetLife,Financials,"71,080",4.8%,"43,000","New York City, New York"
50,51,Prudential Financial,Financials,"70,934",24.4%,"40,916","Newark, New Jersey"
51,52,Albertsons,Retail,"69,690",11.6%,"300,000","Boise, Idaho"
52,53,The Walt Disney Company,Media,"67,418",3.1%,"171,000","Burbank, California"
53,54,Energy Transfer Partners,Petroleum industry,"67,418",73.1%,"12,558","Dallas, Texas"
54,55,Lockheed Martin,Aerospace and Defense,"67,044",2.5%,"114,000","Bethesda, Maryland"
55,56,Freddie Mac,Financials,"65,898",0.5%,"7,301","McLean, Virginia"
56,57,Goldman Sachs,Financials,"64,989",2.7%,"43,900","New York City, New York"
57,58,Raytheon Technologies,Conglomerate,"64,388",13.8%,"174,000","Waltham, Massachusetts"
58,59,HP,Technology,"63,487",12.1%,"51,000","Palo Alto, California"
59,60,Boeing,Aerospace and defense,"62,286",7.1%,"142,000","Chicago, Illinois"
60,61,Morgan Stanley,Financials,"61,121",17.4%,"74,814","New York City, New York"
61,62,HCA Healthcare,Healthcare,"58,752",14.0%,"244,000","Nashville, Tennessee"
62,63,AbbVie,Pharmaceutical industry,"56,197",22.7%,"50,000","Lake Bluff, Illinois"
63,64,Dow Chemical Company,Chemical industry,"54,968",42.6%,"35,700","Midland, Michigan"
